ATP,Tournament_Int,Date,Series_Int,Court_Int,Surface_Int,Round_Int,Best_of,Winner,Player1,Player2,Player1_Rank,Player2_Rank,Player1_Odds,Player2_Odds,Player1_Implied_Prob,Player2_Implied_Prob,Player1_Encoded,Player2_Encoded,Winner_Encoded
1,1.2757,2017-01-02,2.9693,3.6494,4.4983,5.1257,3,ThompsonJ.,YmerE.,ThompsonJ.,5.081404364984463,4.382026634673881,1.5040773967762742,0.8285518175661483,0.2857,0.7752,484,440,0
1,1.2757,2017-01-02,2.9693,3.6494,4.4983,5.1257,3,MahutN.,MahutN.,RobertS.,3.6888794541139363,4.007333185232471,0.9321640810304452,1.2325602611778486,0.6494,0.4115,285,382,1
1,1.2757,2017-01-02,2.9693,3.6494,4.4983,5.1257,3,FerrerD.,TomicB.,FerrerD.,3.295836866004329,3.091042453358316,1.0188473201992472,1.1019400787607843,0.565,0.4975,445,135,0
1,1.2757,2017-01-02,2.9693,3.6494,4.4983,5.1257,3,EdmundK.,EdmundK.,EscobedoE.,3.828641396489095,4.955827057601261,0.8628899551470398,1.3887912413184778,0.7299,0.3322,125,127,1
1,1.2757,2017-01-02,2.9693,3.6494,4.4983,5.1257,3,DimitrovG.,JohnsonS.,DimitrovG.,3.5263605246161616,2.8903717578961645,1.3480731482996928,0.8796267475025636,0.3509,0.7092,216,109,0
1,1.2757,2017-01-03,2.9693,3.6494,4.4983,5.1257,3,DonaldsonJ.,DonaldsonJ.,MullerG.,4.663439094112067,3.5553480614894135,1.2919836816486494,0.9042181506398858,0.3788,0.6803,117,318,1
1,1.2757,2017-01-03,2.9693,3.6494,4.4983,5.1257,3,GrothS.,HerbertP.H.,GrothS.,4.3694478524670215,5.198497031265826,0.9593502213346021,1.184789984909162,0.6211,0.4405,198,178,0
1,1.2757,2017-01-03,2.9693,3.6494,4.4983,5.1257,3,PouilleL.,PouilleL.,SimonG.,2.772588722239781,3.258096538021482,1.0402767116551463,1.0784095813505903,0.5464,0.5155,366,410,1
1,1.2757,2017-01-03,2.9693,3.6494,4.4983,5.1257,3,TroickiV.,NishiokaY.,TroickiV.,4.61512051684126,3.4011973816621555,1.2725655957915476,0.9122827104766164,0.3891,0.6711,339,446,0
1,1.2757,2017-01-03,2.9693,3.6494,4.4983,5.1257,3,SchwartzmanD.,SchwartzmanD.,QuerreyS.,3.970291913552122,3.4657359027997265,1.1568811967920856,0.9783261227936078,0.4587,0.6024,406,365,1
1,1.2757,2017-01-03,2.9693,3.6494,4.4983,5.1257,3,ZverevM.,DeMinaurA.,ZverevM.,5.863631175598097,3.9512437185814275,1.308332819650179,0.8960880245566357,0.3704,0.6897,97,494,0
1,1.2757,2017-01-03,2.9693,3.6494,4.4983,5.1257,3,NadalR.,NadalR.,DolgopolovO.,2.302585092994046,4.143134726391533,0.7608058290337599,1.8468787684491346,0.8772,0.1873,329,114,1
1,1.2757,2017-01-04,2.9693,3.6494,4.4983,5.2511,3,NishikoriK.,DonaldsonJ.,NishikoriK.,4.663439094112067,1.791759469228055,1.9974177062012453,0.7466879474879753,0.157,0.9009,117,331,0
1,1.2757,2017-01-04,2.9693,3.6494,4.4983,5.2511,3,ThompsonJ.,ThompsonJ.,FerrerD.,4.382026634673881,3.091042453358316,1.6974487897568136,0.7884573603642703,0.2242,0.8333,442,135,1
1,1.2757,2017-01-04,2.9693,3.6494,4.4983,5.2511,3,EdmundK.,PouilleL.,EdmundK.,2.772588722239781,3.828641396489095,0.9202827531436925,1.2556160374777743,0.6623,0.3984,366,122,0
1,1.2757,2017-01-04,2.9693,3.6494,4.4983,5.2511,3,WawrinkaS.,WawrinkaS.,TroickiV.,1.6094379124341003,3.4011973816621555,0.8372475245337022,1.4793292270870801,0.7634,0.295,476,446,1
1,1.2757,2017-01-05,2.9693,3.6494,4.4983,5.2511,3,DimitrovG.,MahutN.,DimitrovG.,3.6888794541139363,2.8903717578961645,1.6845453849209058,0.7884573603642703,0.2278,0.8333,285,109,0
1,1.2757,2017-01-05,2.9693,3.6494,4.4983,5.2511,3,ThiemD.,ThiemD.,GrothS.,2.1972245773362196,5.198497031265826,0.7884573603642703,1.6863989535702288,0.8333,0.2273,440,178,1
1,1.2757,2017-01-05,2.9693,3.6494,4.4983,5.2511,3,RaonicM.,SchwartzmanD.,RaonicM.,3.970291913552122,1.3862943611198906,1.8961194845522977,0.7561219797213337,0.1767,0.885,406,375,0
1,1.2757,2017-01-05,2.9693,3.6494,4.4983,5.2511,3,NadalR.,NadalR.,ZverevM.,2.302585092994046,3.9512437185814275,0.7466879474879753,1.9685099809725544,0.9009,0.1623,329,494,1
1,1.2757,2017-01-06,2.9693,3.6494,4.4983,5.6489,3,WawrinkaS.,EdmundK.,WawrinkaS.,3.828641396489095,1.6094379124341003,1.4996230464268938,0.8329091229351039,0.2874,0.7692,125,472,0
1,1.2757,2017-01-06,2.9693,3.6494,4.4983,5.6489,3,NishikoriK.,NishikoriK.,ThompsonJ.,1.791759469228055,4.382026634673881,0.7654678421395714,1.8748743759385615,0.8696,0.1812,338,440,1
